prompt,classes,answer_index
"Does the following sentence have a grammatical error in it? Sentence: The lucky squirrel politely whisperred those cannons. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The scarecrow of a few toothbrushes gleefully demonstrated the filthy swing. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A wilderness on an enthusiastic wilderness vastly resembles many hilly spaces. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A jagged cave of stormy mornings naturally communicates a damaged hope. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Outgoing tables in many perfect rivers loosely price some cloths. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Many uneven pears likely precede small frogs. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The sugar coaxingly sank cute chickens. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Outstanding noses of the condemned cherries greatly narrow the distinct kite. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The toe of the voiceless alarms wisely tastes those pickles. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The arrogant badge in hots deeply recommends a twig. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The guide in thick firemen unethically disposed the safe donkeys. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Some wishes in an outgoing hose too marry the alive pests. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A star in some alert horns fully commissions those helpful lamps. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Playgrounds of anxious flocks afterwards conduct the mothers. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A winter in a cave suspiciously diminished pests. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A safe donkey in the robust fifth jovially analysed the man. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: An afterthought monthly features the map. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The alright cow repeatedly shouts borders. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Both horns on a step majestically excused a scale. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A couple stations of the men rudely cater the caption. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A father far fixes the victorious spots. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Achieves in loose calculators unnecessarily earn the husky corns. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Curious circles very proclaimed a few apples. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Those strange monies carefully implement a fast brother. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The brain in hissing rifles commonly repeated those circles. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The plantations eventually chat the hungry snakes. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Those pollution of some lonely toothbrushes thoroughly earn many flat pets. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A scared giraffe in the hope fortunately supplemented those dimes. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A few creatures of the sea on a few thin stars valiantly enquired a few laces. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The calm summer on the magic deeply outlined a game. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Those dead thrones quarrelsomely suspected a cold beetle. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A few rich apparels openly analysed the disgusted boundary. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A round coach delightfully awards an elated cake. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The fifth of hills in meats in those eager afternoons voluntarily rents the grotesque fifth. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A couple baths arrogantly sacked the dead aftermath. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A drug on both wrenches in the repulsive cobweb beautifully protects the innocent sugar. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The right rake in some medium toes queerly quoted blunt arms. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The disgusted haircut boastfully operates a puzzled lumber. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The plastic daughter abnormally appealed the wing. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A pear in the lonely bath intently criticizes a couple drugs. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The thread on bloody boots unethically compelled a north. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The petite territory in the elated car arrogantly guided the celery. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The crib of the drug carefully inherited a disgusted year. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A boy in a pancake worriedly replies the cat. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The pan unethically benefitted the prickly cabbage. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Cobwebs willfully envisaged silent pans. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Some shy rifles quizzically doubled the crooked rock. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The naughty crow on the scale owlishly smashed the flowers. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Those threads vacantly compensated the gun. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The boundary on the high-pitched birds soon feared the birthday. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A kind goldfish righteously calculates the goose. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A bright branch on the sleepy anger potentially sweeps curved feathers. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The suits yearly travel the greasy cracker. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Many feet especially survive the appliances. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Wrenches unabashedly blow the clean bike. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: The fight of strong streams eventually ceased some greasy frogs. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: A blushing map highly tightenned the square honey. Answer:","[' Yes', ' No']",1
"Does the following sentence have a grammatical error in it? Sentence: Mornings on a meal roughly washed panicky kisses. Answer:","[' Yes', ' No']",1
